evid,station,abs_time,grade,envelope_size,noise_rms,maxamp,snr,practical_noise_lvl,practical_snr
770207-20-M7,geo3,1977-02-07T20:25:18,B,1,0.0012926924973726273,0.004530629143118858,3.5,0.004144502338021994,1.1
770207-20-M7,geo2,1977-02-07T20:25:20,B,1,0.0011241731699556112,0.005277399439364672,4.7,0.004373431671410799,1.2
770207-20-N3,geo2,1977-02-07T20:29:18,D,1,0.001048835227265954,0.00457739969715476,4.4,0.0038755296263843775,1.2
770207-20-M3,geo2,1977-02-07T20:38:10,A,1,0.0010118973441421986,0.003922600299119949,3.9,0.003746579634025693,1.0
770207-20-M3,geo4,1977-02-07T20:38:21,A,1,0.0012187291868031025,0.004536831751465797,3.7,0.004663168452680111,1.0
770207-20-M3,geo1,1977-02-07T20:38:27,A,1,0.0012398380786180496,0.004226560238748789,3.4,0.004238887690007687,1.0
770207-20-M3,geo3,1977-02-07T20:38:29,A,1,0.0012242580996826291,0.003969370853155851,3.2,0.004536380060017109,0.9
770207-20-M4,geo2,1977-02-07T20:44:18,A,1,0.0009838733822107315,0.003922600299119949,4.0,0.003922600299119949,1.0
770207-20-M4,geo4,1977-02-07T20:44:40,A,1,0.0013090485008433461,0.003936458379030228,3.0,0.006036547478288412,0.7
770207-20-M4,geo1,1977-02-07T20:44:44,A,1,0.0011065935250371695,0.004666337743401527,4.2,0.003596181282773614,1.3
770207-20-M4,geo3,1977-02-07T20:44:57,A,1,0.0013535164762288332,0.00523062888532877,3.9,0.005418201442807913,1.0
770207-20-N4,geo2,1977-02-07T20:48:10,D,1,0.0010408026864752173,0.003922600299119949,3.8,0.0038330473471432924,1.0
770207-21-M3,geo2,1977-02-07T21:02:01,C,1,0.0012821078998968005,0.004610158037394285,3.6,0.005070211831480265,0.9
770207-21-M3,geo4,1977-02-07T21:02:07,C,1,0.0013088630512356758,0.004818812943994999,3.7,0.005874467082321644,0.8
770207-21-N2,geo2,1977-02-07T21:06:27,D,1,0.00102315004914999,0.005250227637588978,5.1,0.004589842166751623,1.1
770207-21-M1,geo4,1977-02-07T21:07:16,B,1,0.0011309946421533823,0.006062753032892942,5.4,0.0037734664510935545,1.6
770207-21-M1,geo1,1977-02-07T21:07:18,B,1,0.000988414278253913,0.0038608326576650143,3.9,0.0033608328085392714,1.1
770207-21-M1,geo2,1977-02-07T21:07:23,B,1,0.001056147739291191,0.0053101577796041965,5.0,0.0053101577796041965,1.0
770207-21-M2,geo2,1977-02-07T21:11:45,A,1,0.0011803170200437307,0.004665378015488386,4.0,0.0052898419089615345,0.9
770207-21-M2,geo4,1977-02-07T21:11:46,A,1,0.0012514658737927675,0.005669131875038147,4.5,0.005263859406113625,1.1
770207-21-M2,geo1,1977-02-07T21:11:54,A,1,0.0011898947414010763,0.0053583369590342045,4.5,0.003939167130738497,1.4
770207-21-M2,geo3,1977-02-07T21:11:57,A,1,0.0011312958085909486,0.004946162924170494,4.4,0.004561056848615408,1.1
770207-21-N3,geo2,1977-02-07T21:19:22,D,1,0.0010730139911174774,0.005305053666234016,4.9,0.005305053666234016,1.0
770207-21-N4,geo2,1977-02-07T21:22:11,D,1,0.0011536898091435432,0.003656093031167984,3.2,0.004976230673491955,0.7
770207-21-N5,geo2,1977-02-07T21:23:39,D,1,0.001110705896280706,0.004362608306109905,3.9,0.004979272373020649,0.9
770207-21-N1,geo1,1977-02-07T21:24:54,D,1,0.0010153211187571287,0.0038608326576650143,3.8,0.003774334443733096,1.0
770207-21-N6,geo4,1977-02-07T21:29:54,D,1,0.0011802510125562549,0.004235437605530024,3.6,0.004637246951460838,0.9
770207-21-N7,geo4,1977-02-07T21:33:04,D,1,0.0013788450742140412,0.005262752994894981,3.8,0.00509892962872982,1.0
770207-21-M4,geo4,1977-02-07T21:52:52,C,300,3.909345832653344e-05,0.006137246731668711,157.0,0.0003995146253146231,15.4
770207-21-M4,geo2,1977-02-07T21:52:55,C,184,0.00034876386052928865,0.005918498616665602,17.0,0.004504458978772163,1.3
770207-21-N8,geo4,1977-02-07T21:55:04,D,1,0.0013605785788968205,0.006062753032892942,4.5,0.006062753032892942,1.0
770207-22-M1,geo2,1977-02-07T22:11:24,B,1,0.0011757189640775323,0.005735734943300486,4.9,0.005052601918578148,1.1
770207-22-M1,geo3,1977-02-07T22:11:24,B,1,0.0012660446809604764,0.004681112244725227,3.7,0.004518887959420681,1.0
770207-22-M1,geo1,1977-02-07T22:11:47,B,1,0.0013827072689309716,0.004674295429140329,3.4,0.004674295429140329,1.0
770207-22-N1,geo1,1977-02-07T22:16:57,D,1,0.0011987530160695314,0.003941887989640236,3.3,0.003941887989640236,1.0
770207-22-N6,geo3,1977-02-07T22:20:19,D,1,0.0011466668220236897,0.0038188875187188387,3.3,0.0036138598807156086,1.1
770207-22-M2,geo3,1977-02-07T22:30:45,A,1,0.0012216485338285565,0.004681112244725227,3.8,0.004724329803138971,1.0
770207-22-M2,geo4,1977-02-07T22:30:46,A,1,0.0013055423041805625,0.006017008796334267,4.6,0.006017008796334267,1.0
770207-22-M2,geo1,1977-02-07T22:30:48,A,1,0.0011187191121280193,0.004450839478522539,4.0,0.004236722365021706,1.1
770207-22-M2,geo2,1977-02-07T22:30:52,A,1,0.0012129073729738593,0.003925171215087175,3.2,0.0048327078111469746,0.8
770207-22-N8,geo4,1977-02-07T22:34:22,D,1,0.0012624760856851935,0.005253346636891365,4.2,0.005225026980042458,1.0
770207-22-N4,geo2,1977-02-07T22:35:18,D,1,0.0009663815726526082,0.004573113285005093,4.7,0.004023361019790173,1.1
770207-22-M3,geo1,1977-02-07T22:36:27,C,64,0.0012033245293423533,0.014246872626245022,11.8,0.0044432133436203,3.2
770207-22-M3,geo3,1977-02-07T22:36:29,C,68,0.0012841542484238744,0.016752468422055244,13.0,0.004681112244725227,3.6
770207-22-N2,geo1,1977-02-07T22:39:01,D,5,0.0014365407405421138,0.007725254632532597,5.4,0.006718003191053867,1.1
770207-22-N9,geo4,1977-02-07T22:44:09,D,1,0.0013199042296037078,0.005103201139718294,3.9,0.006143062375485897,0.8
770207-22-N7,geo3,1977-02-07T22:48:53,D,1,0.0013220832915976644,0.00701970886439085,5.3,0.0050561376847326756,1.4
770207-22-N5,geo2,1977-02-07T22:50:21,D,1,0.0028259025420993567,0.007715600077062845,2.7,0.01047708559781313,0.7
770207-22-M4,geo2,1977-02-07T22:54:45,B,1,0.0010059239575639367,0.005326886661350727,5.3,0.0034268866293132305,1.6
770207-22-M4,geo3,1977-02-07T22:54:55,B,1,0.0011328690452501178,0.005488559603691101,4.8,0.003981112036854029,1.4
770207-22-M4,geo4,1977-02-07T22:54:58,B,1,0.001186989014968276,0.005848435219377279,4.9,0.0047186692245304585,1.2
